fid,tipo,cd_geocodd,nm_municip,cd_geocodb,area_ha,area_km2,densid_pop,nm_subdist,nm_meso,nm_micro,cd_geocodi,cd_geocods,id,SHAPE__Length,nm_bairro,SHAPE__Area,nm_distrit,cd_geocodm
1,URBANO,292740805,SALVADOR, ,17.66998363,17.67000983,23.88227307,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060001,29274080506,51309,2353.82657630775, ,176699.83087667,SALVADOR,2927408
2,URBANO,292740805,SALVADOR, ,7.41362597,7.41363697,91.04842914,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060002,29274080506,51310,1345.70671174555, ,74136.26894847,SALVADOR,2927408
3,URBANO,292740805,SALVADOR, ,19.98770161,19.98773128,25.81583637,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060003,29274080506,51311,2016.67008452872, ,199877.02309603,SALVADOR,2927408
4,URBANO,292740805,SALVADOR, ,1.5870454,1.58704775,97.03551753,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060004,29274080506,51312,544.94274090514, ,15870.45413753,SALVADOR,2927408
5,URBANO,292740805,SALVADOR, ,5.07218161,5.07218913,137.02170444,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060005,29274080506,51313,1662.15421246396, ,50721.82012948,SALVADOR,2927408
6,URBANO,292740805,SALVADOR, ,6.78925105,6.78926111,109.29024349,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060006,29274080506,51314,1750.84480962034, ,67892.502959245,SALVADOR,2927408
7,URBANO,292740805,SALVADOR, ,6.70661504,6.70662498,145.0804246,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060007,29274080506,51315,2057.76157653207, ,67066.155348275,SALVADOR,2927408
8,URBANO,292740805,SALVADOR, ,3.20345384,3.20345859,102.70149932,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060008,29274080506,51316,1052.34176800154, ,32034.53874327,SALVADOR,2927408
9,URBANO,292740805,SALVADOR, ,2.3676941,2.36769761,188.36864865,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060009,29274080506,51317,1268.81660397875, ,23676.94511969,SALVADOR,2927408
10,URBANO,292740805,SALVADOR, ,1.33358446,1.33358644,411.67185203,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060010,29274080506,51318,489.233961360927, ,13335.83856697,SALVADOR,2927408
11,URBANO,292740805,SALVADOR, ,1.8233013,1.823304,439.86082347,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060011,29274080506,51319,719.861451179924, ,18233.01483907,SALVADOR,2927408
12,URBANO,292740805,SALVADOR, ,1.19573366,1.19573544,502.61954275,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060012,29274080506,51320,569.474696389092, ,11957.33359444,SALVADOR,2927408
13,URBANO,292740805,SALVADOR, ,1.91532245,1.91532529,410.89626134,AMARALINA,METROPOLITANA DE SALVADOR,SALVADOR,292740805060013,29274080506,51321,1172.98966481373, ,19153.21440491,SALVADOR,2927408
